,name,address,count
0,백스트리트피자,서울특별시 마포구 동교로 245 4층,5
1,모꼬지해산물,서울특별시 마포구 동교로27길 22 1층,1
2,김앤김대게 서교본점,서울특별시 마포구 양화로 100 3층,1
3,현우동 홍대,서울특별시 마포구 와우산로21길 28-8 1층,2
4,연남어부,서울특별시 마포구 동교로 220 1층,2
5,올바른스시 홍대역직영점,서울특별시 마포구 동교로 199-1 1층 올바른스시,7
6,장인닭갈비 홍대점,서울특별시 마포구 어울마당로 111-1 1층,3
7,탐라육해,서울특별시 마포구 독막로9길 41 1~2층,3
8,고덕,서울특별시 마포구 동교로27길 61 1층,1
9,수상한베이글 홍대,서울특별시 마포구 와우산로15길 22,10
10,고쿠텐 홍대점,서울특별시 마포구 월드컵북로4길 26 1층,1
11,리리마카오,"서울특별시 마포구 동교로 227-1 1층,2층",1
12,정돈 홍대점,서울특별시 마포구 어울마당로 46,2
13,독대,서울특별시 마포구 양화로16길 14 1층,1
14,파스타고 홍대점,서울특별시 마포구 와우산로33길 12 1층 PASTAGO,4
15,홍대스앤샤 일산가로수길점,경기도 고양시 일산서구 주엽로 80 A동 222호,1
16,꽃살집 홍대점,서울특별시 마포구 동교로 212-2 1층 꽃살집,1
17,뉴욕아파트먼트,서울특별시 마포구 월드컵로3길 14 마포한강2차푸르지오상가 217호,3
18,범상 스프커리 합정점,서울특별시 마포구 포은로2가길 65 B동 1층 102호,2
19,미도인 홍대,서울특별시 마포구 잔다리로2길 19 1층,1
20,카페 공명 홍대점,"서울특별시 마포구 와우산로17길 11-8 1층, 2층, 3층",2
21,남도뽀글이 홍대점,서울특별시 마포구 홍익로5안길 16 1층,2
22,토끼정 홍대,서울특별시 마포구 잔다리로2길 13 1층~3층,1
23,청기와타운 홍대점,서울특별시 마포구 양화로 128 1층,2
24,이양권반상 홍대점,서울특별시 마포구 와우산로29다길 10 이양권반상,1
25,홍대구루메,인천광역시 남동구 논고개로123번길 17 아이플렉스빌딩 2층 202호,1
26,홍대츄러스,서울특별시 마포구 동교로27길 53 105호 홍대츄러스,1
27,맛깔1987,서울특별시 마포구 동교로 212-9 1층,2
28,신선화로 홍대점,서울특별시 마포구 어울마당로 136-2,2
29,청돈옥 홍대본점,서울특별시 마포구 잔다리로6길 10 1층 청돈옥,2
30,옹시미,서울특별시 마포구 월드컵북로4길 59 1층,1
31,또보겠지떡볶이집 스마일보이점,서울특별시 마포구 와우산로29길 14-8 101호 또보겠지떡볶이집 스마일보이점,1
32,7번가피자 홍대점,서울특별시 마포구 홍익로 15 1층,1
33,카마카츠,서울특별시 마포구 동교로 262-10 2층,1
34,소담상회 with 아이디어스 플레이스 서교,서울특별시 마포구 홍익로5길 31 1층,1
35,88로타리집 홍대점,서울특별시 마포구 양화로16길 30 1층 88로타리집,1
36,Poke all day 포케&샐러드 홍대점,서울특별시 마포구 월드컵북로 64 2층,1
37,미장플라쎄,서울특별시 마포구 양화로19길 22-30,1
38,구씨네부엌,서울특별시 서대문구 신촌로 9,2
39,풍천장어,서울특별시 마포구 동교로27길 39,1
40,오제키,서울특별시 마포구 와우산로29바길 12 2층,1
41,몽주방,서울특별시 마포구 독막로7길 20 1층,2
42,유익상스시,서울특별시 마포구 와우산로23길 18-7 101호 유익상스시,2
43,제줏간(홍대점),서울특별시 마포구 어울마당로 141,3
44,미로식당,서울특별시 마포구 와우산로30길 80 1층,1
45,이모네,서울특별시 마포구 홍익로5길 49,1
46,에이셉피자 홍대점,서울특별시 마포구 어울마당로 49 2F,4
47,오코메이드,서울특별시 마포구 와우산로29가길 86 1층 오코메이드,4
48,수림식당 홍대점,서울특별시 마포구 와우산로21길 19-19 1층,4
49,이가산시도삭면,서울특별시 마포구 홍익로6길 46 1층,2
50,로쏘 1924 나폴리 화덕피자 홍대점,서울특별시 마포구 홍익로 29 1층 로쏘 1924 나폴리 화덕피자,1
51,젤라떼리아아라또,서울특별시 마포구 와우산로29바길 9 시성빌딩 1층 103호,1
52,랫댓 연남,서울특별시 마포구 동교로 243-4 2층,1
53,포차플러팅,"서울특별시 마포구 잔다리로 3 4층, 5층",1
54,황곱,서울특별시 마포구 어울마당로 149 1층,1
55,고기꾼김춘배 홍대본점,서울특별시 마포구 홍익로3길 36 3층,3
56,연남취향,서울특별시 마포구 연희로1길 36,1
57,짚신매운갈비찜 홍대점,서울특별시 마포구 양화로19길 2 1층,1
58,허밍벨라,"서울특별시 마포구 독막로7길 57 2층, 3층",3
59,광야,서울특별시 마포구 월드컵북로4길 82 1층 광야,1
60,홍대개미 청량리역사점,서울특별시 동대문구 왕산로 214 3층 307호 홍대개미,1
61,홍쌤떡볶이 연남점,서울특별시 마포구 연남로5길 36,1
62,비사벌전주콩나물국밥 합정점,서울특별시 마포구 독막로 35,1
63,하나라멘,서울특별시 마포구 동교로38길 27-4 1층,1
64,우아하게,서울특별시 마포구 동교로 185 1층 우아하게,1
65,코코넛박스 카페,서울특별시 마포구 홍익로3길 20 지하 2층,1
66,마루샤브스카이 홍대직영점,서울특별시 마포구 와우산로 94 홍익대학교 홍문관 16층,1
67,이주방,서울특별시 마포구 연희로 33 2층,1
68,저스트텐동 연남본점,서울특별시 마포구 동교로46길 3,1
69,잔다리,서울특별시 마포구 잔다리로 4 1층,1
70,불도깨비 쭈꾸미,"서울특별시 마포구 어울마당로 113-1 2층, 3층",1
71,우물집 홍대점,서울특별시 마포구 와우산로29마길 8 지상1층~4층,1
72,경주식당,서울특별시 마포구 와우산로13길 49-7 1층 경주식당,1
73,들풀한상,서울특별시 마포구 동교로 156-5,1
74,쎄리네찜닭,서울특별시 마포구 와우산로18길 15 1층 쎄리네 찜닭,1
75,홍대물갈비 홍대본점,서울특별시 마포구 홍익로 3-30 1층,2
76,숲길정육점,서울특별시 마포구 동교로 256 1층,1
77,도마 홍대본점,서울특별시 마포구 양화로16길 33,1
78,참새초밥 홍대직영점,서울특별시 마포구 와우산로14길 4 1층,1
79,도적,서울특별시 마포구 어울마당로5길 3 도적,1
80,미쁘동,서울특별시 마포구 동교로38길 33-21 2층,1
81,이츠모라멘,서울특별시 마포구 와우산로23길 18-7 2층 202호,1
82,왕소야,서울특별시 마포구 와우산로25길 13 2층,1
83,이너커피,서울특별시 마포구 연희로 3 3층,1
84,돈까스튀기는형 홍대점,서울특별시 마포구 동교로 182-3 2층,1
85,제주정원,서울특별시 마포구 동교로17길 8 제주정원,2
86,연남주막1987,서울특별시 마포구 동교로 212-5 1층,1
87,목구멍 홍대입구역점,서울특별시 마포구 월드컵북로4길 8 1층,1
88,만동제과,서울특별시 서대문구 연희로 32,3
89,카타코토카페,서울특별시 마포구 동교로 148-6 지층 일부,1
90,대관령메밀막국수자연샤브샤브,서울특별시 마포구 동교로 197,1
91,감성타코 홍대점,서울특별시 마포구 와우산로21길 20-11 2층,1
92,바쿠단야끼 홍대본점,서울특별시 마포구 양화로 188 AK플라자 홍대점 1층,1
93,파머스포케 연남점,서울특별시 마포구 동교로38길 41 2층,1
94,뭉텅 홍대점,서울특별시 마포구 어울마당로 37 1층,2
95,더플레이스 홍대L7점,서울특별시 마포구 양화로 141 L7홍대 21층,1
96,세븐소스샤브샤브,"서울특별시 마포구 연희로 1 , 1층 세븐소스샤브샤브",1
97,하이디라오 홍대점,서울특별시 마포구 양화로 176 동교동 와이즈파크 5층,1
98,오복명가 순대국,서울특별시 마포구 와우산로 156 1층 오복명가 순대국,1
99,돈수백 홍대직영점,서울특별시 마포구 홍익로6길 74,1
100,7번방 홍대점,서울특별시 마포구 어울마당로 62,1
101,좋아해닭발,서울특별시 마포구 와우산로 107 1층,1
102,3일한우국밥,서울특별시 마포구 양화로 120 1층 102호,1
103,꼬꼬순이 동교본점,서울특별시 마포구 연희로 1,1
104,슈퍼두퍼 홍대점,서울특별시 마포구 양화로 165 1층,1
105,핸드릭스커피로스터스,서울특별시 마포구 월드컵북로4길 20,1
106,스시노칸도 홍대점,서울특별시 마포구 잔다리로6길 30 서교뉴빌라 2층,1
107,빌라 더 다이닝,"서울특별시 마포구 동교로30길 16 JnS.Bldg B1, 1F, 2F, 3F",1
108,틸애프터 연남,서울특별시 마포구 양화로19길 22-30 1층,1
109,943 킹스크로스CAFE,서울특별시 마포구 양화로16길 24 B1층~4,1
110,칸스 홍대상수 본점,서울특별시 마포구 와우산로11길 9-9 1층 칸스 홍대상수 본점,1
111,탕탕,서울특별시 마포구 성미산로 97,1
112,교수곱창,서울특별시 마포구 홍익로3길 20 서교오피스텔 101,2
113,수정옥돌생소금구이,서울특별시 마포구 어울마당로 146-1,2
114,한양역,서울특별시 마포구 와우산로21길 31-11 B동 1층,1
115,홍담,서울특별시 마포구 와우산로29길 26-10 지하1층,1
116,서교 독대,서울특별시 마포구 양화로16길 14 1층,1
117,주막보리밥,서울특별시 서대문구 신촌로 17 동우빌딩1층,1
118,더블유오앤,"서울특별시 마포구 잔다리로6길 20-9 1층, B1층",1
119,곱깨비 연남본점,서울특별시 마포구 성미산로 190-33 2층 곱깨비연남본점,1
120,둥지닭볶음탕 홍대점,서울특별시 마포구 와우산로29마길 16 둥지닭볶음탕 홍대점,1
121,하카타분코,서울특별시 마포구 독막로19길 43,1
122,그레이비 버거,"서울특별시 마포구 동교로38길 14 지1층,1층",2
123,포36거리 홍대점,서울특별시 마포구 독막로3길 29 화이트하우스 1층,1
124,뿡어당 홍대점,서울특별시 마포구 와우산로21길 31 A동 1층,1
125,비엔누아즈리 리에,서울특별시 마포구 월드컵북로5길 22 1층,1
126,위키드찜닭,서울특별시 마포구 와우산로19길 26 2층,1
127,무쇠김치삼겹 홍대점,서울특별시 마포구 와우산로21길 20-5 1층 무쇠김치삼겹 홍대점,1
128,목로관,서울특별시 마포구 어울마당로 126,1
129,히사시돈부리,서울특별시 마포구 동교로38길 33-16 1층,1
130,23플래터,서울특별시 마포구 잔다리로3안길 36 1층 23플래터,1
131,식스티즈,서울특별시 마포구 와우산로23길 9 1층,2
132,영동 감자탕,"서울특별시 마포구 월드컵북로5길 17 서교동, 영동감자탕",1
133,몽주막,서울특별시 마포구 독막로9길 12 1층 몽주막,1
134,스아게,서울특별시 마포구 와우산로29라길 7 1층,1
135,연교,서울특별시 마포구 연희로1길 65 1층,1
136,츠케루,서울특별시 마포구 와우산로23길 9 1층 102호,1
137,룽쟝족발덮밥,서울특별시 마포구 홍익로2길 31 1층,1
138,통통돼지뽈살,서울특별시 마포구 어울마당로 126-1 1층및 지하층,1
