,name,address,count
0,평화연남,서울특별시 마포구 동교로 254-1,2
1,화씨이육공 연남점,"서울특별시 마포구 동교로 258 1층, 2층 화씨이육공 연남점",4
2,연남물갈비 김해율하점,경상남도 김해시 율하카페길 105-27,5
3,니뽕내뽕 홍대점,서울특별시 마포구 양화로18안길 8,1
4,연남어부,서울특별시 마포구 동교로 220 1층,5
5,아민 연남,서울특별시 마포구 동교로52길 10-7,5
6,연남물갈비 인천주안점,인천광역시 미추홀구 인하로 246 2층,1
7,한술식당 프리미엄 연남점,서울특별시 마포구 성미산로 190-3 한술식당 프리미엄 연남점,10
8,테이커테이블,서울특별시 마포구 동교로30길 6 1층,1
9,연남물갈비 부산대신점,부산광역시 서구 구덕로333번길 8,2
10,해브,서울특별시 마포구 연희로1길 55 1층,1
11,연남제비,서울특별시 마포구 성미산로 186 1층 연남제비,1
12,앤티크커피 연남점,서울특별시 마포구 연희로 25-1 1층 앤티크커피,1
13,연남토마 성수점,서울특별시 성동구 서울숲4길 16-20,11
14,소점,서울특별시 마포구 성미산로17길 99,1
15,월강부산돼지국밥,서울특별시 마포구 동교로 241-1 월강부산돼지국밥,1
16,하이하우스,서울특별시 마포구 성미산로 161-10 2층,1
17,요미우돈교자 연남점,서울특별시 마포구 동교로 244-1 1층,1
18,라헬의부엌 연남점,서울특별시 마포구 동교로38길 5 1층,1
19,서대문 양꼬치 BAR,서울특별시 마포구 동교로 251 2층,1
20,저스트텐동 연남본점,서울특별시 마포구 동교로46길 3,3
21,제일 연남,서울특별시 마포구 연희로1길 51 지하1층,1
22,니꾸킹버거,서울특별시 마포구 동교로34길 17 1층 202호,2
23,몽중식,서울특별시 마포구 동교로 257 2층,1
24,쿠로코식당 연남점,서울특별시 마포구 동교로27길 83 1층,1
25,포가레 연남본점,서울특별시 마포구 동교로 227-7 2층,5
26,데일리라운드 연남,서울특별시 마포구 동교로38길 27-19 2.5,3
27,연남물갈비 등촌역점,서울특별시 양천구 목동중앙북로7가길 61 105호 연남물갈비,2
28,연남파스타야,서울특별시 마포구 동교로 266-10 1층 102호,3
29,뮬 연남,서울특별시 마포구 동교로 262-8 2층,2
30,랫댓 연남,서울특별시 마포구 동교로 243-4 2층,1
31,연하동,서울특별시 마포구 연남로 6,1
32,브레디포스트 연남점,서울특별시 마포구 연남로 8 1층,1
33,규카츠정 연남,서울특별시 마포구 동교로 266-11 2층 202호,2
34,문득 연남점,서울특별시 마포구 동교로 257 1층 문득,21
35,연남토마 연남본점,서울특별시 마포구 월드컵북로6길 61 연남토마,1
36,커들룸 연남,서울특별시 마포구 동교로38길 41 지하1층,1
37,연남물갈비 부산센텀점,부산광역시 해운대구 센텀동로 102 1층 114호,1
38,연남족발1987,서울특별시 마포구 동교로 222 1층,5
39,청화접,서울특별시 마포구 동교로 268 지하1층 청화접,2
40,대림국수 연남점,서울특별시 마포구 동교로 274 1층,1
41,일쩜오플로어,서울특별시 마포구 동교로34길 21,1
42,파머스포케 연남점,서울특별시 마포구 동교로38길 41 2층,1
43,카멜로연남,서울특별시 마포구 연희로1길 57 1.5층,1
44,창화당 연남점,서울특별시 마포구 양화로23길 22-6 1층 창화당,1
45,오마,서울특별시 마포구 성미산로 192 2F 오마,2
46,연남광안리,서울특별시 마포구 동교로 258-1 1층 연남광안리,1
47,심야식당하스,서울특별시 마포구 연희로1길 19,1
48,고시고시 연남,서울특별시 마포구 동교로38길 33-21 1층 고시고시,1
49,또보겠지떡볶이집 붕붕허니비점,서울특별시 마포구 양화로19길 22-25 2층,1
50,아뜨뜨,서울특별시 마포구 동교로38길 42-5 1층 아뜨뜨,3
51,옥자,서울특별시 마포구 성미산로29길 40-15 1층,1
52,콘부 연남,서울특별시 마포구 동교로46길 42-20 1층,2
53,연남토마 북촌점,서울특별시 종로구 북촌로5길 39 1층,1
54,삐딱 연남점,서울특별시 마포구 동교로34길 6 1층,1
55,그레이비 버거,"서울특별시 마포구 동교로38길 14 지1층,1층",1
56,태국수,서울특별시 마포구 연희로 29,1
57,광야,서울특별시 마포구 월드컵북로4길 82 1층 광야,1
58,오이지 연남,서울특별시 마포구 연희로1길 15 지층 오이지 연남,2
59,틸애프터 연남,서울특별시 마포구 양화로19길 22-30 1층,1
60,유니크혼,서울특별시 마포구 동교로46길 16 1층,1
61,연남주막1987,서울특별시 마포구 동교로 212-5 1층,1
62,미담,서울특별시 마포구 성미산로29안길 25 2층,2
